pos100	p30	p10	mn
4705500	0	0	0
4705600	0	0	0
4705700	0	0	0
4705800	0	0	0
4705900	0	0	0
4706000	0	0	0
4706100	0	0	0
4706200	0	0	0
4706300	0	0	0
4706400	0	0	0
4706500	0	0	0
4706600	0	0	0
4706700	0	0	0
4706800	0	0	0
4706900	0	0	0
4707000	0	0	0
4707100	0	0	0
4707200	0	0	0
4707300	0	0	0
4707400	0	0	0
4707500	0	0	0
4707600	0	0	0
4707700	0	0	0
4707800	0	0	0
4707900	0	0	0
4708000	0	0	0
4708100	0	0	0
4708200	0	0	0
4708300	0	0	0
4708400	0	0	0
4708500	0	0	0
4708600	0	0	0
4708700	0	0	0
4708800	0	0	0
4708900	0	0	0.53
4709000	0	0	0.93
4709100	0	0	0
4709200	0	0	0
4709300	0	0	0
4709400	0	0	0
4709500	0	0	0
4709600	0	0	0
4709700	0	0	0
4709800	0	0	0
4709900	0	0	0
4710000	0	0	0
4710100	0	0	0
4710200	0	0	0
4710300	0	0	0
4710400	0	0	0
4710500	0	0	0
4710600	0	0	0
4710700	0	0	0
4710800	0	0	0
4710900	0	0	0
4711000	0	0	0
4711100	0	0	0
4711200	0	0	0
4711300	0	0	0
4711400	0	0	0
4711500	0	0	0
4711600	0	0	0
4711700	0	0	0
4711800	0	0	0
4711900	0	0	0
4712000	0	0	0
4712100	0	0	0
4712200	0	0	0
4712300	0	0	0
4712400	0	0	0.46
4712500	0	0	1
4712600	0	0	0.5
4712700	0	0	0
4712800	0	0	0
4712900	0	0	0
4713000	0	0	0
4713100	0	0	0
4713200	0	0	0
4713300	0	0	0
4713400	0	0	0
4713500	0	0	0
4713600	0	0	0
4713700	0	0	0
4713800	0	0	0
4713900	0	0	0
4714000	0	0	0
4714100	0	0	0
4714200	0	0	0
4714300	0	0	0
4714400	0	0	0
4714500	0	0	0
4714600	0	0	0
4714700	0	0	0
4714800	0	0	0
4714900	0	0	0
4715000	0	0	0
4715100	0	0	0
4715200	0	0	0
4715300	0	0	0
4715400	0	0	0
4715500	0	0	0
4715600	0	0	0.02
4715700	0	0	1
4715800	0	0	0.44
4715900	0	0	0
4716000	0	0	0
4716100	0	0	0
4716200	0	0	0
4716300	0	0	0
4716400	0	0	0
4716500	0	0	0
4716600	0	0	0
4716700	0	0	0
4716800	0	0	0
4716900	0	0	0
4717000	0	0	0
4717100	0	0	0
4717200	0	0	0
4717300	0	0	0
4717400	0	0	0
4717500	0	0	0
4717600	0	0	0
4717700	0	0	0
4717800	0	0	0
4717900	0	0	0
4718000	0	0	0
4718100	0	0	0
4718200	0	0	0
4718300	0	0	0
4718400	0	0	0
4718500	0	0	0
4718600	0	0	0
4718700	0	0	0
4718800	0	0	0
4718900	0	0	0
4719000	0	0	0
4719100	0	0	0
4719200	0	0	0
4719300	0	0	0
4719400	0	0	0
4719500	0	0	0
4719600	0	0	0
4719700	0	0	0
4719800	0	0	0
4719900	0	0	0
4720000	0	0	0
4720100	0	0	0
4720200	0	0	0
4720300	0	0	0
4720400	0	0	0
4720500	0	0	0
4720600	0	0	0
4720700	0	0	0
4720800	0	0	0
4720900	0	0	0
4721000	0	0	0
4721100	0	0	0
4721200	0	0	0
4721300	0	0	0
4721400	0	0	0
4721500	0	0	0
4721600	0	0	0
4721700	0	0	0
4721800	0	0	0.97
4721900	0	0	0.49
4722000	0	0	0
4722100	0	0	0
4722200	0	0	0
4722300	0	0	0
4722400	0	0	0
4722500	0	0	0
4722600	0	0	0
4722700	0	0	0
4722800	0	0	0
4722900	0	0	0
4723000	0	0	0
4723100	0	0	0
4723200	0	0	0
4723300	0	0	0.68
4723400	0	0	0.78
4723500	0	0	0
4723600	0	0	0
4723700	0	0	0
4723800	0	0	0
4723900	0	0	0.56
4724000	0	0	0
4724100	0	0	0
4724200	0	0	0
4724300	0	0	0
4724400	0	0	0
4724500	0	0	0
4724600	0	0	0
4724700	0	0	0
4724800	0	0	0
4724900	0	0	0
4725000	0	0	0
4725100	0	0	0
4725200	0	0	0
4725300	0	0	0
4725400	0	0	0
4725500	0	0	0
4725600	0	0	0
4725700	0	0	0
4725800	0	0	0
4725900	0	0	0
4726000	0	0	0
4726100	0	0	0
4726200	0	0	0
4726300	0	0	0
4726400	0	0	0
4726500	0	0	0
4726600	0	0	0
4726700	0	0	0
4726800	0	0	0
4726900	0	0	0
4727000	0	0	0
4727100	0	0	0
4727200	0	0	0
4727300	0	0	0
4727400	0	0	0
4727500	0	0	0
4727600	0	0	0
4727700	0	0	0
4727800	0	0	0
4727900	0	0	0
4728000	0	0	0
4728100	0	0	0
4728200	0	0	0
4728300	0	0	0
4728400	0	0	0
4728500	0	0	0
4728600	0	0	0
4728700	0	0	0
4728800	0	0	0
4728900	0	0	0
4729000	0	0	0
4729100	0	0	0
4729200	0	0	0
4729300	0	0	0
4729400	0	0	0
4729500	0	0	0
4729600	0	0	0
4729700	0	0	0
4729800	0	0	0
4729900	0	0	0
4730000	0	0	0
4730100	0	0	0
4730200	0	0	0
4730300	0	0	0
4730400	0	0	0
4730500	0	0	0
4730600	0	0	0
4730700	0	0	0
4730800	0	0	0
4730900	0	0	0
4731000	0	0	0
4731100	0	0	0
4731200	0	0	0
4731300	0	0	0
4731400	0	0	0
4731500	0	0	0
4731600	0	0	0
4731700	0	0	0
4731800	0	0	0
4731900	0	0	0
4732000	0	0	0
4732100	0	0	0
4732200	0	0	0
4732300	0	0	0
4732400	0	0	0
4732500	0	0	0
4732600	0	0	0
4732700	0	0	0
4732800	0	0	0
4732900	0	0	0
4733000	0	0	0
4733100	0	0	0
4733200	0	0	0
4733300	0	0	0
4733400	0	0	0
4733500	0	0	0
4733600	0	0	0
4733700	0	0	0
4733800	0	0	0
4733900	0	0	0
4734000	0	0	0
4734100	0	0	0
4734200	0	0	0
4734300	0	0	0
4734400	0	0	0
4734500	0	0	0
4734600	0	0	0
4734700	0	0	0
4734800	0	0	0
4734900	0	0	0
4735000	0	0	0
4735100	0	0	0
4735200	0	0	0
4735300	0	0	0
4735400	0	0	0
4735500	0	0	0
4735600	0	0	0
4735700	0	0	0
4735800	0	0	0
4735900	0	0	0
4736000	0	0	0
4736100	0	0	0
4736200	0	0	0
4736300	0	0	0
4736400	0	0	0
4736500	0	0	0
4736600	0	0	0
4736700	0	0	0
4736800	0	0	0
4736900	0	0	0
4737000	0	0	0
4737100	0	0	0
4737200	0	0	0
4737300	0	0	0
4737400	0	0	0
4737500	0	0	0
4737600	0	0	0
4737700	0	0	0
4737800	0	0	0
4737900	0	0	0
4738000	0	0	0
4738100	0	0	0
4738200	0	0	0
4738300	0	0	0
4738400	0	0	0
4738500	0	0	0
4738600	0	0	0
4738700	0	0	0
4738800	0	0	0
4738900	0	0	0
4739000	0	0	0
4739100	0	0	0
4739200	0	0	0
4739300	0	0	0
4739400	0	0	0
4739500	0	0	0
4739600	0	0	0
4739700	0	0	0
4739800	0	0	0
4739900	0	0	0
4740000	0	0	0
